TEAM_ID,TEAM_NAME,GP_base,W_base,L_base,W_PCT_base,MIN_base,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK_base,W_RANK_base,L_RANK_base,W_PCT_RANK_base,MIN_RANK_base,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,GP_adv,W_adv,L_adv,W_PCT_adv,MIN_adv,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK_adv,W_RANK_adv,L_RANK_adv,W_PCT_RANK_adv,MIN_RANK_adv,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
1611661330,Atlanta Dream,40,15,25,0.375,40.4,27.8,68.1,0.408,6.0,19.4,0.308,15.4,20.0,0.772,9.2,26.9,36.1,18.4,13.8,7.2,3.7,4.1,16.9,17.6,77.0,-2.8,31,59,43,58,62,75,70,75,73,73,74,31,31,31,63,66,66,75,15,68,71,12,11,61,75,53,40,15,25,0.375,1615.0,94.6,96.6,98.2,100.1,-3.7,-3.6,0.661,1.33,16.6,0.308,0.731,0.513,0.173,0.452,0.501,96.7,94.75,78.96,3190,0.476,31,59,43,58,62,75,7,57,19,71,70,30,3,13,63,75,74,74,61
1610612737,Atlanta Hawks,87,40,47,0.46,47.8,42.5,90.6,0.469,13.5,37.8,0.357,17.9,23.3,0.769,11.8,32.4,44.2,29.0,15.7,9.6,5.1,4.9,19.3,19.2,116.3,-1.3,10,19,65,48,43,13,16,23,29,28,34,4,2,33,29,42,32,2,55,7,31,35,55,24,12,44,87,40,47,0.46,4158.0,111.1,113.0,112.1,114.2,-1.0,-1.2,0.682,1.84,19.7,0.301,0.712,0.503,0.152,0.543,0.577,105.3,103.47,86.23,8961,0.496,10,19,65,48,21,29,60,43,8,16,7,40,21,35,37,28,44,8,43
1612709890,Austin Spurs,34,22,12,0.647,48.1,42.3,90.8,0.465,13.8,38.9,0.354,9.6,13.9,0.693,14.1,34.4,48.5,22.1,14.9,10.1,6.6,4.9,20.5,19.6,114.9,11.6,43,33,6,9,22,20,15,31,19,18,39,70,63,75,6,8,4,62,38,4,4,36,68,17,18,2,34,22,12,0.647,1635.0,117.5,114.2,104.8,102.3,12.6,11.9,0.523,1.48,15.8,0.327,0.696,0.513,0.148,0.541,0.593,98.0,100.62,83.85,3421,0.558,43,33,6,9,52,19,9,2,75,57,75,15,41,17,28,30,18,26,4
1612709913,Birmingham Squadron,34,12,22,0.353,48.2,39.7,87.0,0.457,13.9,37.4,0.373,7.6,10.3,0.738,11.0,31.9,42.9,25.4,15.8,8.4,5.2,5.3,18.8,16.1,106.4,-4.1,43,67,39,60,13,51,45,43,17,32,9,76,76,58,39,49,48,33,56,33,26,52,39,75,55,60,34,12,22,0.353,1639.0,110.5,108.7,115.9,112.7,-5.4,-4.0,0.639,1.61,18.5,0.288,0.683,0.486,0.161,0.537,0.581,95.5,97.57,81.31,3329,0.474,43,67,39,60,43,55,50,59,28,45,27,55,62,64,54,36,37,60,63
1610612738,Boston Celtics,87,63,24,0.724,47.9,41.2,89.2,0.462,17.4,47.5,0.366,15.3,19.2,0.795,11.5,33.3,44.8,25.9,12.0,7.1,5.5,3.7,16.2,17.6,115.1,8.6,10,3,42,5,35,33,28,33,1,1,20,33,34,12,30,22,25,26,3,69,17,8,4,60,17,6,87,63,24,0.724,4166.0,117.3,119.2,108.1,110.4,9.2,8.9,0.627,2.16,18.9,0.297,0.715,0.507,0.124,0.559,0.589,98.6,96.74,80.62,8397,0.539,10,3,42,5,14,2,27,5,38,1,18,42,15,29,2,5,23,67,9
1610612751,Brooklyn Nets,87,29,58,0.333,47.8,37.3,85.4,0.436,13.6,39.4,0.344,16.3,20.8,0.783,10.8,30.0,40.8,24.8,15.2,8.0,4.3,5.4,20.8,19.1,104.3,-6.8,10,27,71,63,42,61,57,68,25,15,53,23,25,20,45,61,61,42,42,52,63,54,70,32,59,67,87,29,58,0.333,4160.0,105.5,107.9,112.3,114.8,-6.8,-6.9,0.666,1.63,18.2,0.294,0.699,0.487,0.157,0.516,0.552,99.3,97.12,80.94,8415,0.452,10,27,71,63,20,58,66,67,16,41,34,46,36,60,47,61,60,64,70
1612709928,Capital City Go-Go,34,20,14,0.588,48.0,41.3,85.2,0.485,13.7,35.3,0.387,10.8,14.2,0.756,10.6,32.4,43.1,27.2,16.2,8.5,6.5,5.9,20.3,19.6,114.3,5.4,43,42,14,24,29,31,58,5,20,40,1,55,57,43,47,41,46,13,63,30,5,67,65,14,21,10,34,20,14,0.588,1632.0,117.7,114.5,110.8,109.1,6.9,5.4,0.659,1.68,19.4,0.292,0.659,0.486,0.162,0.565,0.624,97.7,99.78,83.15,3392,0.534,43,42,14,24,59,12,19,11,21,33,13,51,72,61,56,3,1,39,10
1610612766,Charlotte Hornets,90,26,64,0.289,47.5,37.8,87.9,0.43,12.8,37.9,0.337,15.3,19.6,0.782,12.1,32.7,44.8,23.9,15.4,7.5,4.6,5.2,18.7,18.2,103.7,-7.2,3,31,73,68,56,60,42,72,36,27,58,32,32,22,23,35,26,48,47,62,48,46,38,48,61,68,90,26,64,0.289,4271.0,104.0,106.7,111.8,113.8,-7.8,-7.1,0.632,1.56,17.5,0.308,0.702,0.5,0.158,0.503,0.537,100.6,98.44,82.04,8750,0.459,3,31,73,68,5,60,59,68,34,50,53,29,34,39,48,68,69,52,66
1610612741,Chicago Bulls,87,41,46,0.471,47.7,42.4,90.9,0.467,15.1,41.3,0.365,16.2,20.1,0.805,10.1,35.1,45.2,28.3,14.7,7.8,4.8,5.1,17.9,17.1,116.1,-1.9,10,18,63,44,47,14,14,27,6,5,25,25,30,6,55,3,20,6,34,57,44,43,21,68,13,46,87,41,46,0.471,4153.0,111.2,112.6,112.1,114.5,-0.9,-1.9,0.668,1.92,19.6,0.263,0.715,0.493,0.143,0.55,0.582,105.4,103.64,86.36,8970,0.493,10,18,63,44,24,30,62,46,15,10,8,70,14,52,19,18,34,4,47
1611661329,Chicago Sky,40,13,27,0.325,40.0,29.7,70.3,0.422,4.8,14.9,0.323,13.2,17.8,0.742,10.9,25.8,36.6,19.0,14.3,7.0,3.8,5.8,19.0,17.0,77.4,-5.1,31,65,46,65,72,70,66,74,76,76,68,41,39,54,43,70,64,74,28,72,70,65,45,70,74,64,40,13,27,0.325,1600.0,94.9,97.0,100.9,103.5,-6.0,-6.5,0.639,1.33,16.8,0.341,0.713,0.519,0.179,0.457,0.495,98.0,95.72,79.76,3191,0.444,31,65,46,65,72,74,10,66,26,73,66,8,20,7,69,74,75,72,72
45,China,3,0,3,0.0,40.0,21.3,60.7,0.352,5.0,21.0,0.238,12.0,16.7,0.72,8.0,23.7,31.7,9.7,20.0,4.7,1.7,4.3,25.3,20.3,59.7,-34.7,74,76,3,76,72,76,76,76,75,71,76,43,42,67,71,76,76,76,76,76,76,15,76,6,76,76,3,0,3,0.0,120.0,74.6,75.8,118.4,121.5,-43.8,-45.6,0.453,0.48,9.8,0.286,0.615,0.453,0.254,0.393,0.439,95.8,93.8,78.17,236,0.132,74,76,3,76,74,76,76,76,76,76,76,58,76,76,76,76,76,75,76
1612709931,Ciudad de Mexico Capitanes,34,16,18,0.471,48.4,38.4,85.2,0.451,12.3,35.5,0.347,10.6,14.2,0.748,9.7,33.9,43.6,22.1,15.3,8.3,5.2,4.7,20.0,19.1,106.3,-2.0,43,56,27,45,4,58,59,55,46,38,49,57,57,49,59,14,41,63,43,38,26,31,60,31,56,48,34,16,18,0.471,1646.0,109.6,106.5,110.6,108.6,-1.1,-2.1,0.575,1.45,16.4,0.259,0.685,0.479,0.153,0.523,0.581,96.6,98.93,82.45,3394,0.491,43,56,27,45,34,61,18,50,69,62,72,72,58,69,39,49,35,46,48
1610612739,Cleveland Cavaliers,87,66,21,0.759,47.7,43.9,89.8,0.489,15.6,41.0,0.379,16.9,21.7,0.777,11.1,33.9,45.0,27.8,13.4,8.3,4.4,4.3,18.2,18.8,120.3,8.9,10,2,36,3,48,2,22,2,3,6,5,15,18,26,36,15,23,8,7,39,60,14,28,34,1,5,87,66,21,0.759,4151.0,118.2,120.0,108.6,111.4,9.7,8.7,0.632,2.07,19.6,0.294,0.699,0.503,0.134,0.575,0.605,102.8,100.7,83.92,8719,0.544,10,2,36,3,25,1,33,6,33,5,10,45,38,34,4,1,5,23,7
1612709893,Cleveland Charge,34,16,18,0.471,48.2,40.2,88.3,0.455,12.4,38.5,0.321,10.3,14.5,0.71,14.5,32.2,46.7,25.2,17.9,8.9,6.1,5.1,19.1,19.4,110.0,-2.0,43,56,27,45,11,43,39,46,40,24,70,61,55,71,4,46,11,35,74,23,7,42,52,19,44,49,34,16,18,0.471,1640.0,112.1,110.0,114.4,111.9,-2.3,-1.9,0.626,1.4,17.6,0.355,0.649,0.505,0.179,0.525,0.581,97.6,99.64,83.03,3403,0.494,43,56,27,45,41,46,44,47,39,66,50,5,75,32,70,45,40,41,45
1612709929,College Park Skyhawks,34,17,17,0.5,48.4,40.6,92.5,0.439,13.6,40.9,0.333,10.3,13.3,0.773,12.9,34.0,46.9,24.5,13.9,8.5,4.4,4.6,19.2,17.9,111.3,-0.6,43,54,25,37,5,39,5,66,24,9,62,61,71,30,15,13,10,46,17,28,59,27,54,56,40,41,34,17,17,0.5,1645.0,112.1,110.4,113.5,110.8,-1.3,-0.4,0.604,1.77,17.3,0.302,0.706,0.498,0.137,0.512,0.566,98.2,100.08,83.4,3427,0.487,43,54,25,37,35,44,30,41,56,25,56,37,28,41,11,63,52,33,51
1611661323,Connecticut Sun,40,28,12,0.7,40.3,29.3,65.9,0.444,5.9,18.0,0.327,15.7,20.9,0.753,8.4,25.1,33.5,19.9,13.3,8.2,3.7,4.6,16.1,18.1,80.1,6.5,31,29,6,6,65,71,75,65,74,75,65,30,23,47,67,73,72,71,6,44,72,25,3,51,71,7,40,28,12,0.7,1610.0,100.0,102.3,92.5,94.1,7.5,8.1,0.68,1.49,18.1,0.308,0.727,0.513,0.17,0.488,0.533,95.2,93.32,77.76,3133,0.547,31,29,6,6,65,68,2,7,10,56,40,27,5,14,61,71,70,76,6
1610612742,Dallas Mavericks,87,40,47,0.46,47.7,41.3,86.8,0.476,12.3,33.9,0.362,17.7,23.0,0.768,10.1,32.7,42.7,24.9,14.1,7.8,5.5,4.7,17.8,18.6,112.6,-1.5,10,19,65,48,52,30,48,14,47,50,28,7,4,35,56,36,50,41,24,56,18,29,16,39,31,45,87,40,47,0.46,4146.0,111.5,113.0,112.6,114.6,-1.1,-1.7,0.601,1.76,18.1,0.272,0.693,0.488,0.142,0.547,0.581,101.9,100.35,83.63,8674,0.495,10,19,65,48,29,28,64,45,57,27,37,64,46,58,17,23,38,30,44
1611661321,Dallas Wings,40,9,31,0.225,40.4,31.7,71.0,0.446,6.3,19.2,0.326,14.7,18.7,0.786,10.5,24.3,34.8,20.4,15.7,7.1,4.0,4.6,18.5,17.5,84.2,-7.9,31,70,48,73,62,64,64,64,71,74,67,38,35,16,50,75,68,67,54,70,67,23,34,62,67,70,40,9,31,0.225,1615.0,99.8,102.1,109.0,111.7,-9.3,-9.5,0.645,1.31,17.4,0.346,0.685,0.51,0.19,0.49,0.531,100.4,98.05,81.71,3298,0.445,31,70,48,73,62,69,40,72,25,74,54,6,59,20,73,70,71,55,71
1612709909,Delaware Blue Coats,34,14,20,0.412,48.1,39.7,88.9,0.447,12.5,37.4,0.334,11.3,15.5,0.73,11.2,30.1,41.3,22.9,13.6,9.8,5.0,5.7,16.7,20.8,110.8,-4.1,43,62,33,55,25,52,31,61,39,31,60,50,47,63,34,60,60,58,9,6,33,63,9,3,43,60,34,14,20,0.412,1635.0,113.0,109.6,115.5,113.6,-2.5,-4.0,0.578,1.69,16.6,0.279,0.684,0.471,0.134,0.517,0.579,98.6,100.92,84.1,3437,0.477,43,62,33,55,55,49,58,60,67,31,71,62,61,72,5,60,41,21,57
